,year,JD,ID,TimeDiff,AOD
2000-02-26 05:10:00,2000,057,20000570510,0.15342465753424658,0.2388088888888889
2000-02-27 05:50:00,2000,058,20000580550,0.15616438356164383,0.3226088888888889
2000-02-28 04:55:00,2000,059,20000590455,0.1589041095890411,0.2996311111111111
2000-02-29 05:40:00,2000,060,20000600540,0.16164383561643836,0.3527511111111111
2000-03-03 06:10:00,2000,063,20000630610,0.16986301369863013,0.39494666666666667
2000-03-04 05:15:00,2000,064,20000640515,0.1726027397260274,0.8286712328767123
2000-03-05 06:00:00,2000,065,20000650600,0.17534246575342466,0.48152
2000-03-06 05:05:00,2000,066,20000660505,0.1780821917808219,0.37015555555555557
2000-03-07 05:45:00,2000,067,20000670545,0.18082191780821918,0.5023244444444445
2000-03-10 06:15:00,2000,070,20000700615,0.18904109589041096,0.23720888888888889
2000-03-11 05:20:00,2000,071,20000710520,0.1917808219178082,0.30919555555555556
2000-03-14 05:50:00,2000,074,20000740550,0.2,0.27453636363636363
2000-03-15 04:55:00,2000,075,20000750455,0.20273972602739726,0.1624177777777778
2000-03-16 05:40:00,2000,076,20000760540,0.2054794520547945,0.2230311111111111
2000-03-17 06:25:00,2000,077,20000770625,0.20821917808219179,0.33239555555555556
2000-03-19 06:10:00,2000,079,20000790610,0.2136986301369863,0.20839545454545455
2000-03-20 05:15:00,2000,080,20000800515,0.21643835616438356,0.16435555555555556
2000-03-21 06:00:00,2000,081,20000810600,0.2191780821917808,0.3240275229357798
2000-03-22 05:05:00,2000,082,20000820505,0.2219178082191781,0.3860177777777778
2000-03-23 05:45:00,2000,083,20000830545,0.22465753424657534,0.31452444444444444
2000-03-24 04:50:00,2000,084,20000840450,0.2273972602739726,0.38031693989071036
2000-03-25 05:35:00,2000,085,20000850535,0.23013698630136986,0.16078666666666666
2000-03-26 06:20:00,2000,086,20000860620,0.2328767123287671,0.3221830985915493
2000-03-27 05:25:00,2000,087,20000870525,0.2356164383561644,0.17746222222222222
2000-03-28 06:05:00,2000,088,20000880605,0.23835616438356164,0.29631963470319633
2000-03-29 05:10:00,2000,089,20000890510,0.2410958904109589,0.26446499999999995
2000-03-30 05:55:00,2000,090,20000900555,0.24383561643835616,0.3119360730593608
2000-03-31 05:00:00,2000,091,20000910500,0.2465753424657534,0.2415511111111111
2000-04-01 05:40:00,2000,092,20000920540,0.2493150684931507,0.2366088888888889
2000-04-02 06:25:00,2000,093,20000930625,0.25205479452054796,0.1635688888888889
2000-04-03 05:30:00,2000,094,20000940530,0.2547945205479452,0.09868444444444444
2000-04-04 06:10:00,2000,095,20000950610,0.25753424657534246,0.30217307692307693
2000-04-05 05:15:00,2000,096,20000960515,0.2602739726027397,0.2870577777777778
2000-04-06 06:00:00,2000,097,20000970600,0.26301369863013696,0.21799074074074073
2000-04-07 05:05:00,2000,098,20000980505,0.26575342465753427,0.18475999999999998
2000-04-08 05:45:00,2000,099,20000990545,0.2684931506849315,0.18225892857142859
2000-04-09 04:50:00,2000,100,20001000450,0.27123287671232876,0.21515204678362573
2000-04-10 05:35:00,2000,101,20001010535,0.273972602739726,0.20776
2000-04-11 06:20:00,2000,102,20001020620,0.27671232876712326,0.36206363636363637
2000-04-12 05:25:00,2000,103,20001030525,0.27945205479452057,0.2399911111111111
2000-04-13 06:05:00,2000,104,20001040605,0.2821917808219178,0.36246543778801843
2000-04-14 05:10:00,2000,105,20001050510,0.28493150684931506,0.5065860215053763
2000-04-15 05:55:00,2000,106,20001060555,0.2876712328767123,0.4084678899082569
2000-04-16 05:00:00,2000,107,20001070500,0.29041095890410956,0.3579822222222222
2000-04-17 05:40:00,2000,108,20001080540,0.29315068493150687,0.31176
2000-04-18 06:25:00,2000,109,20001090625,0.2958904109589041,0.538487684729064
2000-04-19 05:30:00,2000,110,20001100530,0.29863013698630136,0.5561511111111112
2000-04-20 06:10:00,2000,111,20001110610,0.3013698630136986,0.6958622448979591
2000-04-21 05:15:00,2000,112,20001120515,0.3041095890410959,0.6076972972972973
2000-04-25 04:50:00,2000,116,20001160450,0.3150684931506849,0.4804833333333334
2000-04-29 06:05:00,2000,120,20001200605,0.32602739726027397,0.8860133333333333
2000-04-30 05:10:00,2000,121,20001210510,0.3287671232876712,0.445
2000-05-01 05:55:00,2000,122,20001220555,0.3315068493150685,0.33581531531531533
2000-05-02 05:00:00,2000,123,20001230500,0.33424657534246577,0.27009777777777777
2000-05-03 05:40:00,2000,124,20001240540,0.336986301369863,0.24947767857142858
2000-05-04 06:25:00,2000,125,20001250625,0.33972602739726027,0.5153823529411765
2000-05-07 05:15:00,2000,128,20001280515,0.34794520547945207,0.39722380952380953
